id,business_name,phone_number,address_id,color,is_facility,working_hours,created_at,updated_at,contact_person,email,business_type,description,logo_url,is_active,verification_status,rating,total_ratings,metrics
3016a735-59df-f123-9515-1408fde4304e,MBet-Adera Sorting Facility,+251115570002,fc6d38e3-b15c-0de9-a7bd-6287cfff0689,#2ecc71,true,"{""friday"":{""open"":""08:00"",""close"":""20:00""},""monday"":{""open"":""08:00"",""close"":""20:00""},""sunday"":{""open"":""10:00"",""close"":""16:00""},""tuesday"":{""open"":""08:00"",""close"":""20:00""},""saturday"":{""open"":""09:00"",""close"":""17:00""},""thursday"":{""open"":""08:00"",""close"":""20:00""},""wednesday"":{""open"":""08:00"",""close"":""20:00""}}",2025-05-14 21:40:17.829738+00,2025-05-14 21:40:17.829738+00,Sara Abebe,sorting@mbet-adera.com,Sorting Facility,Central sorting facility for all parcels,,true,verified,0,0,{}
329694e8-efaf-46b1-b337-eb5a615da3c5,Genet Pharmacy,+251933456789,,#27ae60,false,"{""friday"":{""open"":""08:00"",""close"":""21:00""},""monday"":{""open"":""08:00"",""close"":""21:00""},""sunday"":{""open"":""09:00"",""close"":""18:00""},""tuesday"":{""open"":""08:00"",""close"":""21:00""},""saturday"":{""open"":""08:00"",""close"":""21:00""},""thursday"":{""open"":""08:00"",""close"":""21:00""},""wednesday"":{""open"":""08:00"",""close"":""21:00""}}",2025-05-15 20:19:31.344091+00,2025-05-15 20:19:31.344091+00,Selam Bekele,info@genetpharmacy.com,Pharmacy,Full-service pharmacy with prescription and OTC medications,,true,verified,4.6,0,{}
36c1990a-1a30-488f-950f-e9b63420b971,Sabegn Ethiopian Fashion,+251988901234,,#9b59b6,false,"{""friday"":{""open"":""09:00"",""close"":""19:00""},""monday"":{""open"":""09:00"",""close"":""19:00""},""sunday"":{""open"":""10:00"",""close"":""17:00""},""tuesday"":{""open"":""09:00"",""close"":""19:00""},""saturday"":{""open"":""09:00"",""close"":""20:00""},""thursday"":{""open"":""09:00"",""close"":""19:00""},""wednesday"":{""open"":""09:00"",""close"":""19:00""}}",2025-05-15 20:19:31.344091+00,2025-05-15 20:19:31.344091+00,Meron Haile,contact@sabegnfashion.com,Retail - Fashion,Modern Ethiopian fashion and traditional clothing store,,true,verified,4.7,0,{}
416a2920-d3ae-4dd0-bd93-5ead4e7f2a71,Addis Book Center,+251966789012,4cb7e602-b8e3-cd27-7954-ea1b3629aa81,#16a085,false,"{""friday"":{""open"":""09:00"",""close"":""18:00""},""monday"":{""open"":""09:00"",""close"":""18:00""},""sunday"":{""open"":""11:00"",""close"":""16:00""},""tuesday"":{""open"":""09:00"",""close"":""18:00""},""saturday"":{""open"":""09:00"",""close"":""19:00""},""thursday"":{""open"":""09:00"",""close"":""18:00""},""wednesday"":{""open"":""09:00"",""close"":""18:00""}}",2025-05-15 18:40:40.259271+00,2025-05-15 18:40:40.259271+00,Abebe Kebede,info@addisbookcenter.com,Retail - Books,Comprehensive bookstore with local and international titles,,true,verified,0,0,{}
41a24197-f9db-4e3c-87c9-0c35a564de12,Teshome Electronics,+251955678901,210b2ad8-1696-2ba5-049a-466e0856d388,#3498db,false,"{""friday"":{""open"":""08:30"",""close"":""18:30""},""monday"":{""open"":""08:30"",""close"":""18:30""},""sunday"":{""open"":""10:00"",""close"":""16:00""},""tuesday"":{""open"":""08:30"",""close"":""18:30""},""saturday"":{""open"":""08:30"",""close"":""19:00""},""thursday"":{""open"":""08:30"",""close"":""18:30""},""wednesday"":{""open"":""08:30"",""close"":""18:30""}}",2025-05-15 18:24:15.099649+00,2025-05-15 18:24:15.099649+00,Teshome Arega,sales@teshome-electronics.com,Retail - Electronics,"Wide range of electronics, computers and accessories",,true,verified,0,0,{}
42f4c3f0-5d80-4a28-a6ce-3c5b94e6cc51,Genet Pharmacy,+251933456789,b17f5467-3b1e-2ce3-b3b7-d94e2faf79ca,#27ae60,false,"{""friday"":{""open"":""08:00"",""close"":""21:00""},""monday"":{""open"":""08:00"",""close"":""21:00""},""sunday"":{""open"":""09:00"",""close"":""18:00""},""tuesday"":{""open"":""08:00"",""close"":""21:00""},""saturday"":{""open"":""08:00"",""close"":""21:00""},""thursday"":{""open"":""08:00"",""close"":""21:00""},""wednesday"":{""open"":""08:00"",""close"":""21:00""}}",2025-05-15 18:40:40.259271+00,2025-05-15 18:40:40.259271+00,Selam Bekele,info@genetpharmacy.com,Pharmacy,Full-service pharmacy with prescription and OTC medications,,true,verified,0,0,{}
436d2894-8e6a-4ca8-8a4e-7ff0a0cba8f2,Tomoca Coffee Bole,+251922345678,,#f1c40f,false,"{""friday"":{""open"":""07:00"",""close"":""20:00""},""monday"":{""open"":""07:00"",""close"":""20:00""},""sunday"":{""open"":""08:00"",""close"":""18:00""},""tuesday"":{""open"":""07:00"",""close"":""20:00""},""saturday"":{""open"":""07:00"",""close"":""20:00""},""thursday"":{""open"":""07:00"",""close"":""20:00""},""wednesday"":{""open"":""07:00"",""close"":""20:00""}}",2025-05-15 20:19:31.344091+00,2025-05-15 20:19:31.344091+00,Dawit Mengistu,bole@tomoca.com,Coffee Shop,Famous Ethiopian coffee shop with fresh roasted beans,,true,verified,4.9,0,{}
55ccb7f7-e5ff-5ac5-d83c-b8ca95af1ed3,MBet-Adera Headquarters,+251115570001,36f051ec-dae2-f1a6-16d3-2706799ddb93,#3498db,true,"{""friday"":{""open"":""08:00"",""close"":""20:00""},""monday"":{""open"":""08:00"",""close"":""20:00""},""sunday"":{""open"":""10:00"",""close"":""16:00""},""tuesday"":{""open"":""08:00"",""close"":""20:00""},""saturday"":{""open"":""09:00"",""close"":""17:00""},""thursday"":{""open"":""08:00"",""close"":""20:00""},""wednesday"":{""open"":""08:00"",""close"":""20:00""}}",2025-05-14 21:40:17.829738+00,2025-05-14 21:40:17.829738+00,Henok Tesfaye,info@mbet-adera.com,Headquarters,Main headquarters for MBet-Adera operations,,true,verified,0,0,{}
56e2c8d1-bc7e-4faa-b8d0-5222844ef629,Habesha Cultural Restaurant,+251911234567,94c88eb7-7c68-43fa-3998-5254b1c66f77,#9b59b6,false,"{""friday"":{""open"":""09:00"",""close"":""22:00""},""monday"":{""open"":""09:00"",""close"":""22:00""},""sunday"":{""open"":""11:00"",""close"":""22:00""},""tuesday"":{""open"":""09:00"",""close"":""22:00""},""saturday"":{""open"":""09:00"",""close"":""23:00""},""thursday"":{""open"":""09:00"",""close"":""22:00""},""wednesday"":{""open"":""09:00"",""close"":""22:00""}}",2025-05-15 18:24:15.099649+00,2025-05-15 18:24:15.099649+00,Tigist Haile,info@habesharestaurant.com,Restaurant,Traditional Ethiopian cuisine in a cultural setting,,true,verified,0,0,{}
60cd164f-cc7f-47f6-9312-afc0683173c9,Teshome Electronics,+251955678901,,#3498db,false,"{""friday"":{""open"":""08:30"",""close"":""18:30""},""monday"":{""open"":""08:30"",""close"":""18:30""},""sunday"":{""open"":""10:00"",""close"":""16:00""},""tuesday"":{""open"":""08:30"",""close"":""18:30""},""saturday"":{""open"":""08:30"",""close"":""19:00""},""thursday"":{""open"":""08:30"",""close"":""18:30""},""wednesday"":{""open"":""08:30"",""close"":""18:30""}}",2025-05-15 20:19:31.344091+00,2025-05-15 20:19:31.344091+00,Teshome Arega,sales@teshome-electronics.com,Retail - Electronics,"Wide range of electronics, computers and accessories",,true,verified,4.5,0,{}
